n_have_shirked,n_have_shirked_or_neg_NPV,n_first_best_closures,n_capital_requirements_closure,n_first_best_balanced_closures_under_shock,n_first_best_prudent_closures_under_shock,n_capital_requirements_balanced_closures_under_shock,n_capital_requirements_prudent_closures_under_shock,n_have_shirked_post_shock,n_have_shirked_or_neg_NPV_post_shock,n_first_best_closures_post_shock,n_capital_requirements_closures_post_shock
17,25,12,0,8,20,0,0,9,11,17,1
18,24,12,0,8,21,0,0,9,14,21,0
13,19,9,0,10,28,0,0,16,57,16,3
19,26,13,0,11,25,0,0,14,21,19,2
16,21,13,0,11,26,1,1,14,45,16,4
17,28,8,0,8,30,0,0,15,25,32,0
16,21,13,0,8,27,0,0,14,23,21,4
10,16,6,0,9,24,0,0,8,20,17,1
17,22,12,0,7,30,0,0,13,27,22,1
15,21,10,0,5,22,0,0,6,15,18,2
16,21,10,0,8,22,0,0,14,47,17,1
21,26,18,0,3,26,0,0,10,19,18,2
15,24,11,0,8,23,0,0,8,18,17,0
12,17,8,0,10,19,0,0,12,15,21,2
18,25,15,0,6,21,0,0,13,42,12,5
13,20,6,0,12,31,0,0,16,25,27,3
14,22,11,0,5,21,0,0,12,40,13,4
16,24,9,0,7,27,0,0,15,21,24,2
13,19,9,0,4,23,0,0,5,11,12,2
17,23,8,0,9,21,0,0,9,14,15,2
14,23,11,0,11,30,0,0,17,43,17,1
12,23,7,0,8,23,0,0,8,13,19,2
20,24,13,0,6,20,0,0,12,20,20,0
12,20,7,0,10,20,0,0,13,18,17,0
13,18,7,0,4,21,0,0,8,14,16,2
21,24,14,0,3,21,0,0,9,17,16,4
15,20,9,0,16,32,0,0,15,32,29,1
16,20,11,0,10,34,0,0,10,23,23,0
18,24,14,0,8,19,0,0,8,19,17,1
10,22,6,0,5,28,0,0,16,24,21,0
9,16,5,0,11,30,0,0,19,40,22,3
14,18,10,0,9,26,0,0,11,22,17,3
19,29,12,0,8,25,0,0,12,21,19,2
16,22,13,0,7,17,0,0,9,16,18,3
21,27,18,0,6,19,0,0,14,28,26,2
15,19,13,0,4,16,0,0,12,19,18,2
7,17,7,0,13,29,0,0,17,24,25,2
12,17,8,0,8,36,0,0,15,28,25,2
16,21,12,0,6,15,0,0,10,31,11,2
12,18,9,0,6,22,0,0,8,20,18,2
19,28,15,0,8,25,0,0,18,48,20,1
14,20,9,0,9,31,0,0,20,50,22,4
15,22,11,1,11,26,0,0,17,18,21,1
13,22,11,1,10,21,0,0,10,17,22,3
20,27,12,1,8,22,0,0,9,36,11,1
20,28,12,0,11,36,0,0,10,25,27,2
6,12,3,0,8,30,0,0,12,21,19,0
12,21,8,0,3,16,0,0,9,23,22,1
15,20,11,0,11,23,0,0,9,20,17,0
10,15,8,0,4,23,0,0,9,35,10,1
17,23,10,0,11,26,0,0,11,24,26,1
15,19,13,0,7,20,0,0,11,20,19,1
14,26,11,0,10,26,0,0,12,48,14,1
10,14,6,1,6,22,0,0,10,43,13,1
17,23,10,0,11,27,0,0,9,15,16,4
15,20,10,0,10,26,0,0,9,16,19,1
